epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
107,3779.06,0.95626,0.56093,0.85047,0.97779,0.9634,0.99138,0.77136,0.83924,0.45363,0.83475,0.000214486,0.000214486,0.000214486
108,3814.49,0.94916,0.5514,0.85055,0.9757,0.96828,0.99163,0.7758,0.82431,0.44807,0.83269,0.000209773,0.000209773,0.000209773
109,3849.82,0.94991,0.55388,0.85714,0.96812,0.97295,0.99152,0.77071,0.83428,0.44848,0.83341,0.000205061,0.000205061,0.000205061
110,3884.72,0.95968,0.55722,0.85916,0.96658,0.97884,0.99176,0.77282,0.82994,0.44874,0.83365,0.000200348,0.000200348,0.000200348
111,3920.5,0.94366,0.55018,0.85513,0.97606,0.97207,0.99239,0.77203,0.84212,0.44303,0.83507,0.000195636,0.000195636,0.000195636
112,3956.11,0.94986,0.55869,0.85564,0.97088,0.97777,0.99241,0.77088,0.84152,0.44488,0.83505,0.000190924,0.000190924,0.000190924
113,3992.06,0.92657,0.54654,0.84603,0.97895,0.96663,0.99242,0.77619,0.82324,0.44354,0.83205,0.000186211,0.000186211,0.000186211
114,4027.74,0.9555,0.56261,0.85564,0.98328,0.96504,0.99236,0.77481,0.81663,0.44294,0.83065,0.000181499,0.000181499,0.000181499
115,4063.33,0.92611,0.54794,0.85288,0.98715,0.96079,0.9926,0.78233,0.80937,0.43365,0.82989,0.000176786,0.000176786,0.000176786
116,4098.89,0.95371,0.55228,0.84719,0.96431,0.9803,0.99272,0.78296,0.8041,0.43193,0.82987,0.000172074,0.000172074,0.000172074
117,4134.63,0.92366,0.539,0.85086,0.97254,0.97298,0.99264,0.77982,0.81532,0.43798,0.83087,0.000167362,0.000167362,0.000167362
118,4170.6,0.93671,0.54607,0.85406,0.97954,0.97015,0.99272,0.77988,0.8097,0.43825,0.82952,0.000162649,0.000162649,0.000162649
119,4206.43,0.93638,0.54482,0.85674,0.96895,0.9758,0.99266,0.78197,0.80264,0.43709,0.829,0.000157937,0.000157937,0.000157937
120,4242.59,0.93568,0.55247,0.85567,0.97685,0.96911,0.99249,0.77911,0.80616,0.43211,0.8293,0.000153224,0.000153224,0.000153224
121,4277.65,0.94121,0.56298,0.86044,0.9818,0.96136,0.99224,0.78687,0.79034,0.43401,0.82728,0.000148512,0.000148512,0.000148512
122,4312.79,0.93415,0.56083,0.84636,0.98343,0.96234,0.99214,0.78587,0.79596,0.44047,0.82733,0.0001438,0.0001438,0.0001438
123,4348.55,0.90772,0.52468,0.84325,0.98843,0.95978,0.99261,0.78786,0.78771,0.43304,0.82598,0.000139087,0.000139087,0.000139087
124,4383.61,0.93138,0.5479,0.85193,0.96888,0.98005,0.99259,0.78479,0.79719,0.43271,0.82783,0.000134375,0.000134375,0.000134375
125,4418.5,0.91368,0.54493,0.85066,0.97267,0.97626,0.99242,0.78678,0.79112,0.42809,0.82695,0.000129662,0.000129662,0.000129662
126,4453.42,0.91066,0.53497,0.84267,0.96408,0.9836,0.9924,0.78568,0.79388,0.43091,0.82761,0.00012495,0.00012495,0.00012495
127,4488.42,0.91451,0.53815,0.85573,0.96359,0.98436,0.99255,0.7866,0.7961,0.42925,0.82781,0.000120238,0.000120238,0.000120238
128,4523.53,0.9221,0.53571,0.84102,0.98499,0.96608,0.99276,0.78832,0.79298,0.42503,0.82775,0.000115525,0.000115525,0.000115525
129,4558.85,0.91051,0.52706,0.84155,0.97293,0.98052,0.99274,0.79102,0.7768,0.42319,0.82561,0.000110813,0.000110813,0.000110813
130,4593.88,0.87794,0.51323,0.83723,0.9725,0.97803,0.9928,0.79131,0.78007,0.42374,0.82501,0.0001061,0.0001061,0.0001061
131,4628.97,0.91675,0.53381,0.84624,0.98227,0.96731,0.9929,0.79458,0.77299,0.42126,0.8254,0.000101388,0.000101388,0.000101388
132,4664.07,0.92708,0.53704,0.84553,0.98277,0.96562,0.99261,0.79369,0.77528,0.42129,0.82572,9.66756e-05,9.66756e-05,9.66756e-05
133,4699.25,0.92082,0.52562,0.84728,0.96893,0.97701,0.99264,0.79137,0.77459,0.42184,0.82533,9.19632e-05,9.19632e-05,9.19632e-05
134,4734.76,0.88519,0.51425,0.8387,0.96002,0.98586,0.99257,0.78924,0.78486,0.42143,0.82622,8.72508e-05,8.72508e-05,8.72508e-05
135,4769.98,0.89077,0.51132,0.83373,0.96326,0.98599,0.99253,0.79235,0.7747,0.41722,0.82591,8.25384e-05,8.25384e-05,8.25384e-05
136,4805.11,0.89506,0.52905,0.84403,0.97109,0.97958,0.99276,0.79082,0.77513,0.41736,0.82669,7.7826e-05,7.7826e-05,7.7826e-05
137,4840.29,0.89733,0.50882,0.83638,0.96429,0.9886,0.99278,0.79351,0.76901,0.41428,0.8247,7.31136e-05,7.31136e-05,7.31136e-05
138,4875.28,0.89948,0.52559,0.84375,0.96902,0.98258,0.9928,0.79307,0.76821,0.41669,0.82437,6.84012e-05,6.84012e-05,6.84012e-05
139,4910.44,0.88473,0.52683,0.84563,0.96652,0.98557,0.99286,0.79348,0.77056,0.41828,0.82469,6.36888e-05,6.36888e-05,6.36888e-05
140,4945.36,0.8952,0.50175,0.85007,0.97295,0.97991,0.993,0.79634,0.76356,0.41704,0.82434,5.89764e-05,5.89764e-05,5.89764e-05
141,4980.09,0.88131,0.48401,0.85297,0.98187,0.96577,0.99263,0.78715,0.78635,0.42702,0.82683,5.4264e-05,5.4264e-05,5.4264e-05
142,5014.45,0.8714,0.47287,0.84653,0.97941,0.96677,0.9925,0.78522,0.7945,0.42953,0.82758,4.95516e-05,4.95516e-05,4.95516e-05
143,5049.13,0.8694,0.47622,0.84698,0.97535,0.97152,0.99252,0.78882,0.78699,0.42539,0.82632,4.48392e-05,4.48392e-05,4.48392e-05
144,5083.86,0.85582,0.46186,0.85119,0.97618,0.97293,0.99253,0.78994,0.78292,0.42458,0.82563,4.01268e-05,4.01268e-05,4.01268e-05
145,5118.15,0.86199,0.47971,0.84421,0.9785,0.97067,0.99258,0.78937,0.78345,0.42207,0.82582,3.54144e-05,3.54144e-05,3.54144e-05
146,5152.51,0.83254,0.44719,0.84506,0.98308,0.96512,0.99264,0.79138,0.77568,0.4187,0.82517,3.0702e-05,3.0702e-05,3.0702e-05
147,5186.99,0.83971,0.45712,0.83869,0.97191,0.97698,0.99269,0.79325,0.77156,0.4194,0.82484,2.59896e-05,2.59896e-05,2.59896e-05
148,5221.56,0.84845,0.46298,0.85308,0.97833,0.9694,0.99253,0.79351,0.77388,0.4204,0.82524,2.12772e-05,2.12772e-05,2.12772e-05
149,5255.89,0.84626,0.46113,0.84385,0.98255,0.96644,0.99253,0.79205,0.77557,0.41978,0.82529,1.65648e-05,1.65648e-05,1.65648e-05
150,5290.12,0.83126,0.45485,0.84718,0.97504,0.97273,0.99262,0.79196,0.77137,0.4189,0.82482,1.18524e-05,1.18524e-05,1.18524e-05
